block,name,op_type,engine,flops,mem_accessed,flops_per_byte,process_time,flops_time,mem_time,static_latency,compute_utilization
mlp,ExpertBlock2_Mlp1,matmul,cube,77393297408,22103040.0,3501.477507528376,3.4761599999999996e-06,1.47616e-06,6.28206180408597e-07,2e-06,0.42465249010402284
mlp,ExpertBlock2_SiLU1,layer,vector,8097792,2699264.0,3.0,7.671769708395004e-08,1.977e-08,7.671769708395004e-08,0,0.25769803776
mlp,ExpertBlock2_Mul,layer,vector,2699264,2699264.0,1.0,7.671769708395004e-08,6.59e-09,7.671769708395004e-08,0,0.08589934592
mlp,ExpertBlock2_Mlp2,matmul,cube,38696648704,13413376.0,2884.9298419726697,2.73808e-06,7.3808e-07,3.812310751527548e-07,2e-06,0.26956115234032607
mlp,ExpertBlock3_Mlp1,matmul,cube,77393297408,22103040.0,3501.477507528376,3.4761599999999996e-06,1.47616e-06,6.28206180408597e-07,2e-06,0.42465249010402284
mlp,ExpertBlock3_SiLU1,layer,vector,8097792,2699264.0,3.0,7.671769708395004e-08,1.977e-08,7.671769708395004e-08,0,0.25769803776
mlp,ExpertBlock3_Mul,layer,vector,2699264,2699264.0,1.0,7.671769708395004e-08,6.59e-09,7.671769708395004e-08,0,0.08589934592
mlp,ExpertBlock3_Mlp2,matmul,cube,38696648704,13413376.0,2884.9298419726697,2.73808e-06,7.3808e-07,3.812310751527548e-07,2e-06,0.26956115234032607
mlp,ExpertBlock4_Mlp1,matmul,cube,77334577152,22097408.0,3499.7125976042075,3.47504e-06,1.47504e-06,6.28046109341085e-07,2e-06,0.4244670564943137
mlp,ExpertBlock4_SiLU1,layer,vector,8091648,2697216.0,3.0,7.665948942303658e-08,1.9755e-08,7.665948942303658e-08,0,0.25769803776
mlp,ExpertBlock4_Mul,layer,vector,2697216,2697216.0,1.0,7.665948942303658e-08,6.585e-09,7.665948942303658e-08,0,0.08589934592
mlp,ExpertBlock4_Mlp2,matmul,cube,38667288576,13408768.0,2883.731643056245,2.7375199999999998e-06,7.3752e-07,3.811001079156995e-07,2e-06,0.2694117303252579
mlp,ExpertBlock5_Mlp1,matmul,cube,77334577152,22097408.0,3499.7125976042075,3.47504e-06,1.47504e-06,6.28046109341085e-07,2e-06,0.4244670564943137
mlp,ExpertBlock5_SiLU1,layer,vector,8091648,2697216.0,3.0,7.665948942303658e-08,1.9755e-08,7.665948942303658e-08,0,0.25769803776
mlp,ExpertBlock5_Mul,layer,vector,2697216,2697216.0,1.0,7.665948942303658e-08,6.585e-09,7.665948942303658e-08,0,0.08589934592
mlp,ExpertBlock5_Mlp2,matmul,cube,38667288576,13408768.0,2883.731643056245,2.7375199999999998e-06,7.3752e-07,3.811001079156995e-07,2e-06,0.2694117303252579
mlp,Expert_comm2_combine,layer,vector,0,188891136,0.0,0,0,5.368608981370926e-06,0,0
mlp,MOE_rearrange2,layer,vector,6588,6588.0,1.0,1.872422217275016e-10,1.6083984375e-11,1.872422217275016e-10,0,0.08589934592000001
mlp,MlpBlock_G,layer,vector,0,0.0,0,0,0,0.0,0,0
mlp,element_multi_sum,layer,vector,47222784.0,47226078.0,0.9999302504010602,1.3422458664535952e-06,1.1529e-07,1.3422458664535952e-06,0,0.08589335447507289
mlp,MlpBlock_Residual,layer,vector,5246976,7870464.0,0.6666666666666666,2.2369204089045525e-07,1.281e-08,2.2369204089045525e-07,0,0.05726623061333334
